hex,subseason,season
#f6a390,Clear Spring,Spring
#ff8d6d,Clear Spring,Spring
#ed5475,Clear Spring,Spring
#ff565b,Clear Spring,Spring
#db2a1c,Clear Spring,Spring
#ef61a4,Clear Spring,Spring
#d438b4,Clear Spring,Spring
#973cbe,Clear Spring,Spring
#af98de,Clear Spring,Spring
#463536,Clear Spring,Spring
#9393d1,Warm Spring,Spring
#973cbd,Warm Spring,Spring
#d9281a,Warm Spring,Spring
#b36953,Warm Spring,Spring
#ed5138,Warm Spring,Spring
#a5621a,Warm Spring,Spring
#ff8000,Warm Spring,Spring
#ffa38b,Warm Spring,Spring
#fab57c,Warm Spring,Spring
#ffba1c,Warm Spring,Spring
#faac8f,Light Spring,Spring
#fdad66,Light Spring,Spring
#ff8d6d,Light Spring,Spring
#fcc89a,Light Spring,Spring
#c4b2e3,Light Spring,Spring
#d7a8e2,Light Spring,Spring
#f7cda7,Light Spring,Spring
#c2a695,Light Spring,Spring
#cfa279,Light Spring,Spring
#9696d2,Light Spring,Spring
#f395c7,Clear Winter,Winter
#89189f,Clear Winter,Winter
#a61891,Clear Winter,Winter
#ab0062,Clear Winter,Winter
#c5007d,Clear Winter,Winter
#e20888,Clear Winter,Winter
#e40047,Clear Winter,Winter
#cb0033,Clear Winter,Winter
#c824b2,Clear Winter,Winter
#9c40c2,Clear Winter,Winter
#f192c5,Cool Winter,Winter
#83319a,Cool Winter,Winter
#933bbc,Cool Winter,Winter
#c622af,Cool Winter,Winter
#db1886,Cool Winter,Winter
#e2006b,Cool Winter,Winter
#cf0038,Cool Winter,Winter
#a7005e,Cool Winter,Winter
#8a0c59,Cool Winter,Winter
#83309a,Deep Winter,Winter
#963cbd,Deep Winter,Winter
#c723b0,Deep Winter,Winter
#da1784,Deep Winter,Winter
#e50072,Deep Winter,Winter
#d00039,Deep Winter,Winter
#a7005e,Deep Winter,Winter
#991e68,Deep Winter,Winter
#8b0b5a,Deep Winter,Winter
#f0bbc6,Soft Summer,Summer
#ffa3b5,Soft Summer,Summer
#f65073,Soft Summer,Summer
#d694ac,Soft Summer,Summer
#a075a4,Soft Summer,Summer
#a462b9,Soft Summer,Summer
#a65e9a,Soft Summer,Summer
#8a687e,Soft Summer,Summer
#78658f,Soft Summer,Summer
#a73b70,Soft Summer,Summer
#f395c7,Cool Summer,Summer
#f57eb6,Cool Summer,Summer
#e174cc,Cool Summer,Summer
#c660cd,Cool Summer,Summer
#953bbc,Cool Summer,Summer
#973392,Cool Summer,Summer
#ae145b,Cool Summer,Summer
#c00d3e,Cool Summer,Summer
#e31c7a,Cool Summer,Summer
#ee5c9f,Cool Summer,Summer
#ecb3cb,Light Summer,Summer
#de9ddf,Light Summer,Summer
#f57195,Light Summer,Summer
#f47ab3,Light Summer,Summer
#cb67d1,Light Summer,Summer
#a260b7,Light Summer,Summer
#af98dd,Light Summer,Summer
#9999d4,Light Summer,Summer
#ccb3a5,Light Summer,Summer
#dc874f,Soft Autumn,Autumn
#c26e5f,Soft Autumn,Autumn
#996f5b,Soft Autumn,Autumn
#935f36,Soft Autumn,Autumn
#bf502f,Soft Autumn,Autumn
#7a4b38,Soft Autumn,Autumn
#554942,Soft Autumn,Autumn
#b68251,Soft Autumn,Autumn
#a47800,Warm Autumn,Autumn
#a7641b,Warm Autumn,Autumn
#946037,Warm Autumn,Autumn
#9b4514,Warm Autumn,Autumn
#7c4d3a,Warm Autumn,Autumn
#a03626,Warm Autumn,Autumn
#c3602b,Warm Autumn,Autumn
#ec5037,Warm Autumn,Autumn
#ee7000,Warm Autumn,Autumn
#f68f2f,Warm Autumn,Autumn
#5e068f,Deep Autumn,Autumn
#81272b,Deep Autumn,Autumn
#643335,Deep Autumn,Autumn
#880b57,Deep Autumn,Autumn
#973cbe,Deep Autumn,Autumn
#9d3526,Deep Autumn,Autumn
#7b4c39,Deep Autumn,Autumn
#ec4d35,Deep Autumn,Autumn
#bd4c00,Deep Autumn,Autumn
#ff8300,Deep Autumn,Autumn
#c5622d,Deep Autumn,Autumn
